0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,3,0,18
0,3,1,18
0,3,2,18
0,3,3,18
0,3,4,18
0,4,0,0
0,4,1,18
0,4,2,18
0,4,3,18
0,4,4,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,2,0,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,3,0,18
1,3,1,18
1,3,2,18
1,3,3,18
1,3,4,18
1,4,0,18
1,4,1,18
1,4,2,18
1,4,3,18
1,4,4,18
1,5,0,0
1,5,1,0
1,5,2,18
1,5,3,18
1,5,4,0
1,6,0,0
1,6,1,0
1,6,2,18
1,6,3,0
1,6,4,0
2,0,0,0
2,0,1,0
2,0,2,17
2,0,3,0
2,0,4,0
2,1,0,0
2,1,1,0
2,1,2,17
2,1,3,0
2,1,4,0
2,2,0,0
2,2,1,0
2,2,2,17
2,2,3,0
2,2,4,0
2,3,0,18
2,3,1,18
2,3,2,17
2,3,3,18
2,3,4,18
2,4,0,18
2,4,1,18
2,4,2,17
2,4,3,18
2,4,4,18
2,5,0,0
2,5,1,18
2,5,2,17
2,5,3,18
2,5,4,0
2,6,0,0
2,6,1,18
2,6,2,18
2,6,3,18
2,6,4,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,1,0,0
3,1,1,0
3,1,2,0
3,1,3,0
3,1,4,0
3,2,0,0
3,2,1,0
3,2,2,0
3,2,3,0
3,2,4,0
3,3,0,18
3,3,1,18
3,3,2,18
3,3,3,18
3,3,4,18
3,4,0,18
3,4,1,18
3,4,2,18
3,4,3,18
3,4,4,18
3,5,0,0
3,5,1,0
3,5,2,18
3,5,3,18
3,5,4,0
3,6,0,0
3,6,1,0
3,6,2,18
3,6,3,0
3,6,4,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,1,0,0
4,1,1,0
4,1,2,0
4,1,3,0
4,1,4,0
4,2,0,0
4,2,1,0
4,2,2,0
4,2,3,0
4,2,4,0
4,3,0,0
4,3,1,18
4,3,2,18
4,3,3,18
4,3,4,0
4,4,0,18
4,4,1,18
4,4,2,18
4,4,3,18
4,4,4,0
4,5,0,0
4,5,1,0
4,5,2,0
4,5,3,0
4,5,4,0
4,6,0,0
4,6,1,0
4,6,2,0
4,6,3,0
4,6,4,0
